City and state, Rank based on resident population 2005, Median household income (dollars), Median family income  (dollars), Per capita income  (dollars), Individuals for  whom poverty status determined (number), Families for  whom poverty status determined (number), Total individual below povery level, Total familes below povery level, Percent individual below povery level, Percent familes below povery level
113,278.0,59199.0,64421.0,22946.0,93349.0,-1.0,6280.0,-1.0,6.727442179,-1.0
114,419.0,55881.0,65844.0,30562.0,72312.0,-1.0,8216.0,-1.0,11.36187631,-1.0
115,268.0,42801.0,51093.0,22297.0,95382.0,24594.0,15303.0,3180.0,16.04390766,12.92998292
116,310.0,55125.0,69046.0,27522.0,88449.0,-1.0,10756.0,-1.0,12.16068017,-1.0
117,177.0,25928.0,33630.0,16191.0,132363.0,31131.0,38307.0,7856.0,28.94086716,25.23529601
118,272.0,45251.0,55407.0,21874.0,94344.0,21454.0,16759.0,2776.0,17.76371576,12.93931202
119,423.0,32233.0,45764.0,21125.0,71298.0,19599.0,15003.0,3455.0,21.04266599,17.62845043
120,422.0,35968.0,45803.0,21731.0,71243.0,-1.0,10840.0,-1.0,15.21552995,-1.0
121,326.0,42440.0,45940.0,18147.0,85666.0,-1.0,4759.0,-1.0,5.55529615,-1.0
122,318.0,38034.0,57719.0,21646.0,87713.0,-1.0,14785.0,-1.0,16.85611027,-1.0
123,24.0,42370.0,52139.0,27715.0,543842.0,119873.0,83044.0,14367.0,15.26987618,11.98518432
124,98.0,42690.0,56042.0,23262.0,196413.0,50404.0,19426.0,3192.0,9.890384038,6.332830728
125,11.0,28069.0,33640.0,15042.0,832680.0,189728.0,261497.0,51145.0,31.40426094,26.95701214
126,210.0,42191.0,51312.0,20898.0,111137.0,-1.0,11393.0,-1.0,10.25131144,-1.0
127,391.0,37083.0,51660.0,22627.0,76055.0,-1.0,12292.0,-1.0,16.16198804,-1.0
128,110.0,42321.0,52081.0,24627.0,191250.0,46834.0,28278.0,5206.0,14.78588235,11.115856
129,181.0,31915.0,32888.0,11690.0,129658.0,26002.0,34269.0,6609.0,26.43030125,25.41727559
130,481.0,29691.0,37605.0,16525.0,61025.0,-1.0,15486.0,-1.0,25.37648505,-1.0
131,251.0,75928.0,85137.0,34864.0,99612.0,-1.0,4422.0,-1.0,4.43922419,-1.0
132,421.0,55045.0,71877.0,34407.0,71597.0,-1.0,5404.0,-1.0,7.547802282,-1.0
